  Energy  39.57K_10T  39.59K_7T  39.575K_5T  39.59K_3T  19.29K_10T  19.295K_7T  19.3K_5T  19.31K_3T  9.775K_10T  9.78K_7T  9.795K_5T   9.8K_3T  4.995K_10T  5.02K_7T  5.055K_5T  5.04K_3T  2.68K_10T  2.62K_7T  2.64K_5T  2.63K_3T
 9099.18      0.9635    -2.1060      6.1561    -6.0633    -10.2410     -5.9073    0.5020    -0.8823     -6.4139   -4.7711    -1.9698   -1.8457    -13.4889   -6.3668     3.8660   -6.4981     2.1813   -0.5798   -2.7434  -19.5545
 9107.47      2.0072    -3.0694     -3.8982     0.0707    -16.2784     -6.0412   -3.7938    -6.1178      2.3499   -5.5740    -3.3790    0.1245     -5.2417    2.0574     3.4735   -8.1248    -8.8898   -2.7683   -1.7233  -11.7313
 9115.77      3.5471    -1.1085     -0.6519   -10.0125     -0.8385     -2.9092   -5.6623   -10.7412     -7.2532   -6.1437     6.1457    0.1126    -12.5766    2.4127     3.6463   -2.4169   -12.9356    7.7937    2.8168   -7.9145
 9124.09     -5.6158    -0.5208    -11.3168     1.7608     -2.7421     -3.4870   -3.7029     0.9747     -5.8337   10.1754    -3.6896  -19.0132      3.4426    0.2885     3.7539   -8.3747    -1.8525    2.4911    4.7152    4.2648
 9132.42     -5.1389    -1.9761      3.5977    -4.3264      9.3662     -1.4339   -3.7575    -6.7344     -7.5417    3.0805    -5.8281    0.9148      0.3146   -6.0773    -6.7048    1.6476    -1.9348  -11.7769   -3.4820   -5.6383
 9140.77     -7.7313    -5.5559    -10.0147     2.5412     -8.4609     10.0989   -6.5881     8.8931     -7.6455   -2.0245    -4.3707   -1.5142      1.0212    1.1220    -3.5620    3.1490    -9.4262    4.2196   -9.6640    2.4295
 9149.13      4.3576    10.6902      3.6138     3.2067     -6.8358     -2.1676   -4.2366     1.0737     -3.6491    2.5629     9.0594    1.9170     -1.9962    0.6701     6.1026  -11.9526    -0.5057    0.2016    3.2180   -1.2761
 9157.51     -2.7839     1.8548      4.5530     1.9482     -6.4458     -2.6226    1.6174    -0.6371     -0.8340   -3.6104   -12.7355   -1.4009      9.3939    1.2218     2.1746    4.8927    -6.1560   -4.3008    8.2462    6.5398
 9165.90     -0.9274    -2.2261     12.1401    -2.3605     -7.4135     -3.7732    6.1937     7.6941     -2.3439   -0.8004     2.5802   -2.7805     -8.6679   -5.8229    -4.1578   -6.0961    -2.8596  -10.5923   14.6705    0.8954
 9174.31      1.4661     5.0485     -0.9046     4.3580     -4.8403      0.9015   -8.0673    -0.5425     -0.5530   -6.7503    -7.8693   -2.1927     -0.1983    1.8005    -5.8930   -0.0359   -12.5021   -6.3871   -3.3895    0.3842
 9182.74     -0.5780    -1.6725      7.9910    -1.5324     15.0813    -15.5510    2.1672     5.5891      0.7061   -5.2385    -7.8769    4.7443     -3.9574  -13.1194   -16.0688   -1.0078    -3.0804    0.8319   -2.9254    8.8783
 9191.18     -5.2619     5.6584      9.7298     0.3337     -9.5735      2.5213    2.1469    -1.3123     -9.7736   -4.2195    -5.7015   -0.5111    -11.5820    3.0938    -0.6300    1.9994     1.3234    1.2529    4.6553   -4.7365
 9199.63    -14.2176    -2.1036     -2.3498    -9.3620      5.0684    -11.0182    2.8806    -2.9998     -6.2312   -1.2103     1.0162    2.3674     -1.3316  -14.4701    -7.3008    5.3644    -5.2422   -5.9382    0.7276   -0.6532
 9208.10      8.2222    -2.2803     -5.6029     1.1128      2.3638      1.7836    4.2685    -0.0241    -10.9167   -2.0545    -3.1768    4.7979     -8.5162  -11.1054     8.2082  -10.4211    -8.6341   -0.7177   -7.1193    5.4101
 9216.59      0.8361    -7.7590      1.5314     3.2403     -8.7973     -8.6674   13.8223     2.7556     -2.3592   -1.6275    -4.7557    2.9155      0.7146    3.9693    -7.7382    0.6622     3.6126   -0.5566    1.7447   -5.4196
 9225.09     -1.0963     6.9246     -3.7764    -4.0760     -7.6349      1.8746   -1.3297    -0.1398    -11.5210    8.2196     9.5547   -8.4507      4.8984   -0.0785    -1.6866    0.7671    -9.1321    7.0940    7.2958    2.5578
 9233.61    -13.4691     1.6692     -0.6856     6.7022     -7.8318      3.8360   -5.4795    -1.8383    -11.5514    1.0753     2.0191   -1.6727     -3.0504    0.7308    -5.7802    0.3832     2.5263    3.4028   -0.4942  -13.3018
 9242.14    -10.2414    14.4502      3.8735    -1.5239     -2.3500     -6.6118   -3.4434    -3.6295     -7.8070   -1.6435    -3.9377   10.0774     -9.4984   -5.0776    -0.0975    5.6502    -5.5753   -4.8030   -8.9886   -4.6917
 9250.69     -2.2433     1.7735     -3.7910    -2.4377      5.2476     -1.7530    0.7251    -5.9039     -6.1443   -2.7672     3.9792    6.3910     -6.8500   -0.6556    -7.4823  -10.3397    -5.0204   -3.5873    0.1937    1.8087
